full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
darcyegb/ClaudeCodeAgents,576,576,51,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,1936,1936,180,1,1,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1749,1749,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,995,995,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1406,1406,132,5,5,0,https://github.com/bfly123/claude_code_bridge
slopus/happy,14204,14204,1103,12,12,1,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1236,1236,350,3,3,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
steipete/claude-code-mcp,1153,1153,140,1,1,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1392,1392,175,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
obra/superpowers,70764,70764,5439,248,248,12,https://github.com/obra/superpowers
zhukunpenglinyutong/idea-claude-code-gui,1483,1483,165,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
JessyTsui/Claude-Code-Remote,1130,1130,123,2,2,1,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1483,1483,111,5,5,1,https://github.com/trailofbits/claude-code-config
catlog22/Claude-Code-Workflow,1411,1411,114,2,2,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,23692,23692,1462,48,48,4,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1084,1084,122,0,0,0,https://github.com/simonw/claude-code-transcripts
EnzeD/vibe-coding,4001,4001,1341,-1,-1,0,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1317,1317,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
pchalasani/claude-code-tools,1535,1535,101,3,3,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-plugins-official,8996,8996,890,23,23,5,https://github.com/anthropics/claude-plugins-official
winfunc/opcode,20785,20785,1600,6,6,0,https://github.com/winfunc/opcode
alirezarezvani/claude-skills,2395,2395,315,20,20,6,https://github.com/alirezarezvani/claude-skills
0xfurai/claude-code-subagents,748,748,139,3,3,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,959,959,120,1,1,-1,https://github.com/jarrodwatts/claude-code-config
jeremylongshore/claude-code-plugins-plus-skills,1506,1506,180,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
ComposioHQ/awesome-claude-skills,40728,40728,4050,82,82,10,https://github.com/ComposioHQ/awesome-claude-skills
cixingguangming55555/wechat-bot,2533,2533,667,0,0,0,https://github.com/cixingguangming55555/wechat-bot
wasabeef/claude-code-cookbook,1023,1023,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
alirezarezvani/claude-code-tresor,569,569,136,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
revfactory/claude-code-mastering,760,760,122,0,0,0,https://github.com/revfactory/claude-code-mastering
d-kimuson/claude-code-viewer,941,941,105,0,0,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1592,1592,249,1,1,1,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5165,5165,684,4,4,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8743,8743,563,6,6,1,https://github.com/numman-ali/openskills
ericbuess/claude-code-docs,716,716,101,1,1,0,https://github.com/ericbuess/claude-code-docs
Alishahryar1/free-claude-code,786,786,94,4,4,0,https://github.com/Alishahryar1/free-claude-code
browser-use/browser-use,79606,79606,9413,24,24,5,https://github.com/browser-use/browser-use
code-yeongyu/oh-my-opencode,36920,36920,2780,69,69,3,https://github.com/code-yeongyu/oh-my-opencode
MadAppGang/claude-code,242,242,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
anomalyco/opencode,115973,115973,11766,157,157,20,https://github.com/anomalyco/opencode
opactorai/Claudable,3769,3769,563,1,1,0,https://github.com/opactorai/Claudable
greggh/claude-code.nvim,1885,1885,60,1,1,0,https://github.com/greggh/claude-code.nvim
severity1/claude-code-prompt-improver,1172,1172,100,3,3,0,https://github.com/severity1/claude-code-prompt-improver
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
Yeachan-Heo/oh-my-claudecode,8347,8347,581,41,41,2,https://github.com/Yeachan-Heo/oh-my-claudecode
superdesigndev/superdesign,6060,6060,686,-1,-1,0,https://github.com/superdesigndev/superdesign
BloopAI/vibe-kanban,22371,22371,2173,29,29,10,https://github.com/BloopAI/vibe-kanban
upstash/context7,47703,47703,2254,31,31,4,https://github.com/upstash/context7
danielmiessler/Personal_AI_Infrastructure,9498,9498,1326,11,11,5,https://github.com/danielmiessler/Personal_AI_Infrastructure
gsd-build/get-shit-done,24510,24510,2096,139,139,10,https://github.com/gsd-build/get-shit-done
daymade/claude-code-skills,621,621,89,0,0,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,602,602,117,602,602,117,https://github.com/ccplugins/awesome-claude-code-plugins
