full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/skills,74913,74913,7733,170,170,29,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2061,2061,287,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2404,2404,255,2,2,0,https://github.com/Cranot/claude-code-guide
ykdojo/claude-code-tips,3139,3139,226,12,12,0,https://github.com/ykdojo/claude-code-tips
anthropics/claude-code-base-action,586,586,591,0,0,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3441,3441,244,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-code-security-review,3270,3270,258,18,18,1,https://github.com/anthropics/claude-code-security-review
router-for-me/CLIProxyAPI,11554,11554,1846,25,25,0,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,29305,29305,3213,27,27,3,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25621,25621,2436,3,3,1,https://github.com/eyaltoledano/claude-task-master
siteboon/claudecodeui,6811,6811,871,17,17,3,https://github.com/siteboon/claudecodeui
https-deeplearning-ai/sc-claude-code-files,422,422,583,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1224,1224,255,1,1,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,11156,11156,1237,41,41,1,https://github.com/snarktank/ralph
qwibitai/nanoclaw,14094,14094,2137,198,198,53,https://github.com/qwibitai/nanoclaw
pedrohcgs/claude-code-my-workflow,419,419,523,4,4,12,https://github.com/pedrohcgs/claude-code-my-workflow
RichardAtCT/claude-code-telegram,1622,1622,196,13,13,2,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,1481,1481,184,0,0,0,https://github.com/ding113/claude-code-hub
github/spec-kit,71762,71762,6189,65,65,4,https://github.com/github/spec-kit
EveryInc/compound-engineering-plugin,9510,9510,751,22,22,5,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1228,1228,186,1,1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,930,930,211,1,1,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,840,840,411,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
carlvellotti/claude-code-pm-course,1468,1468,214,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
lst97/claude-code-sub-agents,1428,1428,225,1,1,0,https://github.com/lst97/claude-code-sub-agents
sickn33/antigravity-awesome-skills,15098,15098,2785,149,149,32,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,240,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1914,1914,181,0,0,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,565,565,50,1,1,1,https://github.com/darcyegb/ClaudeCodeAgents
andrepimenta/claude-code-chat,991,991,152,1,1,0,https://github.com/andrepimenta/claude-code-chat
rizethereum/claude-code-requirements-builder,1745,1745,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,13311,13311,1016,56,56,5,https://github.com/slopus/happy
steipete/claude-code-mcp,1135,1135,139,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1189,1189,341,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1362,1362,169,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
peterkrueck/Claude-Code-Development-Kit,1313,1313,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
bfly123/claude_code_bridge,1274,1274,119,0,0,0,https://github.com/bfly123/claude_code_bridge
EnzeD/vibe-coding,3961,3961,1312,1,1,0,https://github.com/EnzeD/vibe-coding
winfunc/opcode,20668,20668,1593,-1,-1,0,https://github.com/winfunc/opcode
obra/superpowers,60541,60541,4619,314,314,30,https://github.com/obra/superpowers
catlog22/Claude-Code-Workflow,1331,1331,111,1,1,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1091,1091,121,3,3,0,https://github.com/JessyTsui/Claude-Code-Remote
pchalasani/claude-code-tools,1489,1489,95,3,3,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-plugins-official,8275,8275,806,24,24,2,https://github.com/anthropics/claude-plugins-official
0xfurai/claude-code-subagents,725,725,138,0,0,0,https://github.com/0xfurai/claude-code-subagents
zhukunpenglinyutong/idea-claude-code-gui,1318,1318,143,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
cixingguangming55555/wechat-bot,2532,2532,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
wasabeef/claude-code-cookbook,1011,1011,109,0,0,0,https://github.com/wasabeef/claude-code-cookbook
simonw/claude-code-transcripts,1051,1051,116,1,1,0,https://github.com/simonw/claude-code-transcripts
jarrodwatts/claude-code-config,944,944,117,0,0,0,https://github.com/jarrodwatts/claude-code-config
ComposioHQ/awesome-claude-skills,37384,37384,3676,74,74,16,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,756,756,122,0,0,0,https://github.com/revfactory/claude-code-mastering
trailofbits/claude-code-config,1277,1277,95,10,10,1,https://github.com/trailofbits/claude-code-config
farion1231/cc-switch,19794,19794,1232,47,47,2,https://github.com/farion1231/cc-switch
anthropics/claude-agent-sdk-demos,1506,1506,242,3,3,1,https://github.com/anthropics/claude-agent-sdk-demos
jeremylongshore/claude-code-plugins-plus-skills,1431,1431,172,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
alirezarezvani/claude-code-tresor,539,539,129,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-python,4969,4969,656,4,4,1,https://github.com/anthropics/claude-agent-sdk-python
d-kimuson/claude-code-viewer,912,912,101,1,1,0,https://github.com/d-kimuson/claude-code-viewer
danielmiessler/Personal_AI_Infrastructure,9146,9146,1259,12,12,2,https://github.com/danielmiessler/Personal_AI_Infrastructure
numman-ali/openskills,8481,8481,552,8,8,2,https://github.com/numman-ali/openskills
code-yeongyu/oh-my-opencode,33939,33939,2553,81,81,7,https://github.com/code-yeongyu/oh-my-opencode
browser-use/browser-use,78911,78911,9336,13,13,4,https://github.com/browser-use/browser-use
opactorai/Claudable,3751,3751,564,1,1,0,https://github.com/opactorai/Claudable
ericbuess/claude-code-docs,700,700,100,0,0,0,https://github.com/ericbuess/claude-code-docs
alirezarezvani/claude-skills,1956,1956,236,7,7,0,https://github.com/alirezarezvani/claude-skills
kn1026/cc,704,704,271,0,0,0,https://github.com/kn1026/cc
kepano/obsidian-skills,10586,10586,570,42,42,6,https://github.com/kepano/obsidian-skills
severity1/claude-code-prompt-improver,1159,1159,98,5,5,0,https://github.com/severity1/claude-code-prompt-improver
MadAppGang/claude-code,235,235,24,0,0,0,https://github.com/MadAppGang/claude-code
superdesigndev/superdesign,6025,6025,681,0,0,0,https://github.com/superdesigndev/superdesign
lyconear/Claude-Code,4,4,146,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1851,1851,59,1,1,0,https://github.com/greggh/claude-code.nvim
upstash/context7,46783,46783,2223,35,35,4,https://github.com/upstash/context7
anomalyco/opencode,110025,110025,10945,185,185,35,https://github.com/anomalyco/opencode
BloopAI/vibe-kanban,21799,21799,2091,34,34,-1,https://github.com/BloopAI/vibe-kanban
KimYx0207/Claude-Code-Guide-Zh,651,651,110,5,5,3,https://github.com/KimYx0207/Claude-Code-Guide-Zh
manzaltu/claude-code-ide.el,1369,1369,78,2,2,0,https://github.com/manzaltu/claude-code-ide.el
laravel/claude-code,504,504,16,0,0,0,https://github.com/laravel/claude-code
daymade/claude-code-skills,602,602,82,0,0,1,https://github.com/daymade/claude-code-skills
